#{"t_start": 1788183470.7452114, "env_id": "None"}
r,l,t
275.0,5,2.53268
-25.0,2,2.539866
-25.0,2,2.546683
75.0,3,2.55618
-125.0,1,2.560576
75.0,3,2.57001
-25.0,2,2.576559
-125.0,1,2.579566
-125.0,1,2.583126
-125.0,1,2.585702
-125.0,1,2.592665
-25.0,2,2.602565
75.0,3,2.612854
-25.0,2,2.619408
-125.0,1,2.624044
-25.0,2,2.6307
225.0,4,2.643745
-125.0,1,2.647676
-125.0,1,2.652662
-25.0,2,2.659715
75.0,3,2.669608
-125.0,1,2.672626
75.0,3,2.685821
-125.0,1,2.689126
275.0,6,2.709788
275.0,6,2.729649
-125.0,1,2.73424
75.0,3,2.744287
375.0,7,2.766059
-25.0,2,2.773241
-125.0,1,2.777473
-125.0,1,2.780229
75.0,3,2.78973
-25.0,2,2.796522
75.0,3,2.806319
-125.0,1,2.810036
-125.0,1,2.812815
-125.0,1,2.816901
275.0,6,2.835396
-125.0,1,2.840336
-125.0,1,2.844422
75.0,3,2.854371
-125.0,1,2.857358
-125.0,1,2.860889
75.0,3,2.870968
-125.0,1,2.87492
-25.0,2,2.882285
225.0,4,2.895758
-125.0,1,2.8998
-125.0,1,2.902803
-25.0,2,2.909407
-25.0,2,2.916094
-25.0,2,2.923459
225.0,4,2.934717
225.0,4,2.946226
-25.0,2,2.953053
-125.0,1,2.955667
-125.0,1,2.960159
-25.0,2,2.967227
1075.0,14,3.011585
-125.0,1,3.014975
-125.0,1,3.019272
-125.0,1,3.022212
275.0,5,3.036744
-125.0,1,3.041013
-125.0,1,3.043657
-125.0,1,3.047239
-125.0,1,3.05003
75.0,3,3.059957
-25.0,2,3.065223
-125.0,1,3.068654
-25.0,2,3.0751
-25.0,2,3.080769
-125.0,1,3.083693
-25.0,2,3.089868
225.0,4,3.101493
-125.0,1,3.104133
-25.0,2,3.110689
75.0,3,3.119813
-125.0,1,3.123532
-25.0,2,3.129732
-125.0,1,3.132372
-25.0,2,3.138372
-125.0,1,3.141017
-125.0,1,3.144276
-25.0,2,3.150353
-125.0,1,3.153601
-25.0,2,3.159581
-25.0,2,3.165866
-125.0,1,3.168398
-125.0,1,3.171972
-125.0,1,3.174689
-125.0,1,3.178031
-125.0,1,3.180582
-25.0,2,3.187109
-125.0,1,3.189874
-25.0,2,3.195865
-25.0,2,3.202344
-125.0,1,3.20592
-125.0,1,3.208747
-125.0,1,3.212394
-125.0,1,3.215152
-25.0,2,3.221095
-125.0,1,3.223855
-125.0,1,3.227519
-25.0,2,3.233345
-25.0,2,3.238629
-125.0,1,3.242429
225.0,4,3.254593
-25.0,2,3.262126
75.0,3,3.271641
-125.0,1,3.27505
-125.0,1,3.277649
-25.0,2,3.283923
75.0,3,3.292572
-25.0,2,3.299017
-125.0,1,3.30301
-25.0,2,3.309489
-125.0,1,3.312124
-25.0,2,3.318124
-125.0,1,3.320768
275.0,6,3.338484
-125.0,1,3.341069
-25.0,2,3.347185
225.0,4,3.359214
-125.0,1,3.361866
-125.0,1,3.365459
-125.0,1,3.368513
225.0,4,3.380473
-25.0,2,3.38672
-125.0,1,3.389291
-25.0,2,3.395138
-25.0,2,3.400851
-125.0,1,3.403398
-125.0,1,3.406847
-25.0,2,3.411638
-125.0,1,3.415524
-25.0,2,3.421553
-125.0,1,3.424208
225.0,4,3.435489
-125.0,1,3.438198
-25.0,2,3.444472
-25.0,2,3.450232
75.0,3,3.458447
-25.0,2,3.464284
-125.0,1,3.46685
275.0,6,3.484157
-25.0,2,3.489917
-25.0,2,3.494913
-125.0,1,3.497952
-125.0,1,3.500845
-25.0,2,3.507008
-125.0,1,3.510437
225.0,4,3.521007
-125.0,1,3.524372
75.0,3,3.53258
-25.0,2,3.538011
-125.0,1,3.540705
-125.0,1,3.543293
-125.0,1,3.546683
-125.0,1,3.549176
-25.0,2,3.555547
75.0,3,3.563544
225.0,4,3.575316
-125.0,1,3.578081
225.0,4,3.589355
-125.0,1,3.593611
-125.0,1,3.596842
-125.0,1,3.599838
-125.0,1,3.602884
225.0,4,3.614335
-125.0,1,3.617498
-125.0,1,3.621223
-125.0,1,3.624069
-25.0,2,3.629925
-125.0,1,3.632581
-25.0,2,3.638865
-125.0,1,3.642243
225.0,4,3.652773
-125.0,1,3.656235
-125.0,1,3.659132
-125.0,1,3.663185
-25.0,2,3.669826
-25.0,2,3.675686
-125.0,1,3.67906
-125.0,1,3.681957
-25.0,2,3.688832
-125.0,1,3.69332
225.0,4,3.705264
-125.0,1,3.708736
-125.0,1,3.712109
-25.0,2,3.717139
75.0,3,3.725707
-25.0,2,3.730982
75.0,3,3.739646
-25.0,2,3.744731
-25.0,2,3.750176
-125.0,1,3.753839
275.0,6,3.770693
-125.0,1,3.774349
-25.0,2,3.779376
-25.0,2,3.785497
-125.0,1,3.789062
-125.0,1,3.791669
-125.0,1,3.795179
-125.0,1,3.797723
75.0,3,3.806423
-125.0,1,3.809951
75.0,3,3.818526
75.0,3,3.827064
-25.0,2,3.833222
225.0,4,3.844847
-125.0,1,3.847395
-25.0,2,3.853615
-125.0,1,3.857828
225.0,4,3.868848
-25.0,2,3.87473
-125.0,1,3.878481
-25.0,2,3.883499
-125.0,1,3.886348
-25.0,2,3.89201
-125.0,1,3.894836
75.0,3,3.903213
-125.0,1,3.906906
-125.0,1,3.909517
-125.0,1,3.912787
-25.0,2,3.917926
-25.0,2,3.923759
225.0,4,3.935058
75.0,3,3.943372
-125.0,1,3.947156
-125.0,1,3.949941
225.0,4,3.961289
-25.0,2,3.966321
-25.0,2,3.973117
-125.0,1,3.976666
-25.0,2,3.982424
-25.0,2,3.988572
275.0,6,4.006342
275.0,6,4.025223
-125.0,1,4.027951
-25.0,2,4.034328
-25.0,2,4.040296
225.0,4,4.053132
-125.0,1,4.056201
275.0,5,4.072499
-25.0,2,4.07926
275.0,5,4.093744
-125.0,1,4.096883
-25.0,2,4.102884
225.0,4,4.864136
275.0,5,4.880851
-125.0,1,4.885045
-125.0,1,4.888037
-125.0,1,4.891984
-25.0,2,4.898827
75.0,3,4.90794
-125.0,1,4.911997
-125.0,1,4.914845
-125.0,1,4.918717
-125.0,1,4.921612
-25.0,2,4.928584
75.0,3,4.937243
375.0,7,4.96057
-25.0,2,4.965812
75.0,3,4.975331
-25.0,2,4.981403
275.0,5,4.996726
225.0,4,5.009092
-25.0,2,5.015511
-125.0,1,5.018235
75.0,3,5.026424
75.0,3,5.03499
375.0,7,5.054434
-25.0,2,5.061249
-125.0,1,5.064727
225.0,4,5.075972
225.0,4,5.087985
75.0,3,5.097092
-25.0,2,5.102775
275.0,6,5.120316
75.0,3,5.129186
-25.0,2,5.134907
-25.0,2,5.140943
225.0,4,5.152147
275.0,5,5.166935
-25.0,2,5.173068
75.0,3,5.182319
-25.0,2,5.187762
75.0,3,5.196092
-25.0,2,5.20121
225.0,4,5.212276
475.0,8,5.234498
375.0,7,5.254538
75.0,3,5.263776
75.0,3,5.272588
-125.0,1,5.275344
-25.0,2,5.281898
75.0,3,5.291017
-125.0,1,5.295461
-125.0,1,5.298079
75.0,3,5.307078
225.0,4,5.317785
475.0,8,5.339614
-125.0,1,5.344275
75.0,3,5.353075
-125.0,1,5.3567
-25.0,2,5.362874
225.0,4,5.373675
-25.0,2,5.380836
-125.0,1,5.384599
-125.0,1,5.387881
-125.0,1,5.391518
-25.0,2,5.399128
-125.0,1,5.40256
75.0,3,5.413755
275.0,5,5.430686
-125.0,1,5.435998
-25.0,2,5.44364
-125.0,1,5.447491
-25.0,2,5.454451
-25.0,2,5.462674
275.0,5,5.482982
-125.0,1,5.486889
375.0,7,5.51545
-125.0,1,5.520679
-125.0,1,5.52542
-125.0,1,5.529918
-125.0,1,5.534158
-125.0,1,5.538729
275.0,6,5.571158
-125.0,1,5.575235
75.0,3,5.594784
275.0,5,5.619149
-25.0,2,5.628092
-25.0,2,5.634899
-125.0,1,5.638345
225.0,4,5.651377
-25.0,2,5.658727
475.0,8,5.684805
75.0,3,5.694737
-125.0,1,5.698328
-125.0,1,5.701629
-125.0,1,5.705769
75.0,3,5.715549
-125.0,1,5.719246
275.0,5,5.735741
-25.0,2,5.741753
-125.0,1,5.745572
-125.0,1,5.74887
-25.0,2,5.755751
675.0,10,5.797368
275.0,6,5.822489
-125.0,1,5.830667
-25.0,2,5.84458
-125.0,1,5.851113
275.0,6,5.873321
-125.0,1,5.879927
-125.0,1,5.887286
-25.0,2,5.895657
-25.0,2,5.902948
-125.0,1,5.906932
-125.0,1,5.91035
-25.0,2,5.916916
75.0,3,5.927014
-25.0,2,5.933203
225.0,4,5.945916
-125.0,1,5.948925
-25.0,2,5.954931
-125.0,1,5.957929
275.0,6,5.980597
-125.0,1,5.983719
-25.0,2,5.99056
-125.0,1,5.993833
475.0,8,6.017599
-125.0,1,6.021618
-25.0,2,6.026759
-125.0,1,6.030749
-25.0,2,6.037447
-25.0,2,6.044499
225.0,4,6.057052
-25.0,2,6.064579
75.0,3,6.074193
-125.0,1,6.079795
-125.0,1,6.082887
-125.0,1,6.087228
-125.0,1,6.090556
375.0,7,6.11412
-25.0,2,6.120054
275.0,6,6.137683
75.0,3,6.147379
-25.0,2,6.153552
-125.0,1,6.156216
-125.0,1,6.159206
-125.0,1,6.16278
675.0,10,6.195789
-25.0,2,6.201732
-125.0,1,6.204687
-25.0,2,6.211816
-25.0,2,6.218503
-25.0,2,6.225691
225.0,4,6.238816
75.0,3,6.248381
-25.0,2,6.254447
225.0,4,6.268503
-25.0,2,6.274994
75.0,3,6.283875
