episode,reward
0,125.0
1,-25.0
2,-25.0
3,25.0
4,-75.0
5,25.0
6,-25.0
7,-75.0
8,-75.0
9,-75.0
10,-75.0
11,-25.0
12,25.0
13,-25.0
14,-75.0
15,-25.0
16,75.0
17,-75.0
18,-75.0
19,-25.0
20,25.0
21,-75.0
22,25.0
23,-75.0
24,175.0
25,175.0
26,-75.0
27,25.0
28,175.0
29,-25.0
30,-75.0
31,-75.0
32,25.0
33,-25.0
34,25.0
35,-75.0
36,-75.0
37,-75.0
38,175.0
39,-75.0
40,-75.0
41,25.0
42,-75.0
43,-75.0
44,25.0
45,-75.0
46,-25.0
47,75.0
48,-75.0
49,-75.0
50,-25.0
51,-25.0
52,-25.0
53,75.0
54,75.0
55,-25.0
56,-75.0
57,-75.0
58,-25.0
59,875.0
60,-75.0
61,-75.0
62,-75.0
63,125.0
64,-75.0
65,-75.0
66,-75.0
67,-75.0
68,25.0
69,-25.0
70,-75.0
71,-25.0
72,-25.0
73,-75.0
74,-25.0
75,75.0
76,-75.0
77,-25.0
78,25.0
79,-75.0
80,-25.0
81,-75.0
82,-25.0
83,-75.0
84,-75.0
85,-25.0
86,-75.0
87,-25.0
88,-25.0
89,-75.0
90,-75.0
91,-75.0
92,-75.0
93,-75.0
94,-25.0
95,-75.0
96,-25.0
97,-25.0
98,-75.0
99,-75.0
100,-75.0
101,-75.0
102,-25.0
103,-75.0
104,-75.0
105,-25.0
106,-25.0
107,-75.0
108,75.0
109,-25.0
110,25.0
111,-75.0
112,-75.0
113,-25.0
114,25.0
115,-25.0
116,-75.0
117,-25.0
118,-75.0
119,-25.0
120,-75.0
121,175.0
122,-75.0
123,-25.0
124,75.0
125,-75.0
126,-75.0
127,-75.0
128,75.0
129,-25.0
130,-75.0
131,-25.0
132,-25.0
133,-75.0
134,-75.0
135,-25.0
136,-75.0
137,-25.0
138,-75.0
139,75.0
140,-75.0
141,-25.0
142,-25.0
143,25.0
144,-25.0
145,-75.0
146,175.0
147,-25.0
148,-25.0
149,-75.0
150,-75.0
151,-25.0
152,-75.0
153,75.0
154,-75.0
155,25.0
156,-25.0
157,-75.0
158,-75.0
159,-75.0
160,-75.0
161,-25.0
162,25.0
163,75.0
164,-75.0
165,75.0
166,-75.0
167,-75.0
168,-75.0
169,-75.0
170,75.0
171,-75.0
172,-75.0
173,-75.0
174,-25.0
175,-75.0
176,-25.0
177,-75.0
178,75.0
179,-75.0
180,-75.0
181,-75.0
182,-25.0
183,-25.0
184,-75.0
185,-75.0
186,-25.0
187,-75.0
188,75.0
189,-75.0
190,-75.0
191,-25.0
192,25.0
193,-25.0
194,25.0
195,-25.0
196,-25.0
197,-75.0
198,175.0
199,-75.0
200,-25.0
201,-25.0
202,-75.0
203,-75.0
204,-75.0
205,-75.0
206,25.0
207,-75.0
208,25.0
209,25.0
210,-25.0
211,75.0
212,-75.0
213,-25.0
214,-75.0
215,75.0
216,-25.0
217,-75.0
218,-25.0
219,-75.0
220,-25.0
221,-75.0
222,25.0
223,-75.0
224,-75.0
225,-75.0
226,-25.0
227,-25.0
228,75.0
229,25.0
230,-75.0
231,-75.0
232,75.0
233,-25.0
234,-25.0
235,-75.0
236,-25.0
237,-25.0
238,175.0
239,175.0
240,-75.0
241,-25.0
242,-25.0
243,75.0
244,-75.0
245,125.0
246,-25.0
247,125.0
248,-75.0
249,-25.0
250,75.0
251,125.0
252,-75.0
253,-75.0
254,-75.0
255,-25.0
256,25.0
257,-75.0
258,-75.0
259,-75.0
260,-75.0
261,-25.0
262,25.0
263,175.0
264,-25.0
265,25.0
266,-25.0
267,-25.0
268,25.0
269,75.0
270,-25.0
271,-75.0
272,25.0
273,25.0
274,175.0
275,-25.0
276,-75.0
277,75.0
278,75.0
279,25.0
280,-25.0
281,175.0
282,25.0
283,-25.0
284,-25.0
285,75.0
286,125.0
287,-25.0
288,25.0
289,-25.0
290,25.0
291,-25.0
292,75.0
293,275.0
294,175.0
295,25.0
296,25.0
297,-75.0
298,-25.0
299,25.0
300,-75.0
301,-75.0
302,25.0
303,75.0
304,275.0
305,-75.0
306,25.0
307,-75.0
308,-25.0
309,75.0
310,-25.0
311,-75.0
312,-75.0
313,-75.0
314,-25.0
315,-75.0
316,25.0
317,125.0
318,-75.0
319,-25.0
320,-75.0
321,-25.0
322,-25.0
323,125.0
324,-75.0
325,175.0
326,-75.0
327,-75.0
328,-75.0
329,-75.0
330,-75.0
331,25.0
332,25.0
333,-75.0
334,25.0
335,125.0
336,-25.0
337,-25.0
338,-75.0
339,75.0
340,-25.0
341,275.0
342,25.0
343,-75.0
344,-75.0
345,-75.0
346,25.0
347,-75.0
348,125.0
349,-25.0
350,-75.0
351,-75.0
352,-25.0
353,475.0
354,175.0
355,-75.0
356,-25.0
357,-75.0
358,175.0
359,-75.0
360,-75.0
361,-25.0
362,-25.0
363,-75.0
364,-75.0
365,-25.0
366,25.0
367,-25.0
368,75.0
369,-75.0
370,-25.0
371,-75.0
372,175.0
373,-75.0
374,-25.0
375,-75.0
376,275.0
377,-75.0
378,-25.0
379,-75.0
380,-25.0
381,-25.0
382,75.0
383,-25.0
384,25.0
385,-75.0
386,-75.0
387,-75.0
388,-75.0
389,175.0
390,-25.0
391,25.0
392,25.0
393,25.0
394,-25.0
395,-75.0
396,-75.0
397,-75.0
398,475.0
399,-25.0
400,-75.0
401,-25.0
402,-25.0
403,-25.0
404,75.0
405,25.0
406,-25.0
407,75.0
408,-25.0
409,25.0
410,-25.0
411,-25.0
412,-25.0
413,-75.0
414,-25.0
415,-75.0
416,-75.0
417,375.0
418,25.0
419,75.0
420,-75.0
421,-75.0
422,-25.0
423,25.0
424,-25.0
425,-75.0
426,25.0
427,-75.0
428,-25.0
429,75.0
430,-75.0
431,475.0
432,-25.0
433,75.0
434,-25.0
435,175.0
436,-25.0
437,-75.0
438,-25.0
439,-75.0
440,-75.0
441,25.0
442,-75.0
443,25.0
444,-25.0
445,-75.0
446,25.0
447,125.0
448,275.0
449,-75.0
450,-75.0
451,-75.0
452,75.0
453,-25.0
454,75.0
455,475.0
456,25.0
457,125.0
458,275.0
459,-25.0
460,-75.0
461,-75.0
462,75.0
463,75.0
464,475.0
465,825.0
466,25.0
467,75.0
468,175.0
469,575.0
470,125.0
471,75.0
472,-75.0
473,175.0
474,375.0
475,25.0
476,-25.0
477,175.0
478,-25.0
479,75.0
480,-75.0
481,275.0
482,75.0
483,-25.0
484,1125.0
485,75.0
486,25.0
487,175.0
488,125.0
489,-75.0
490,-75.0
491,275.0
492,125.0
493,-25.0
494,475.0
495,-25.0
496,-75.0
497,-25.0
498,-25.0
499,-75.0
500,175.0
501,-75.0
502,175.0
503,-75.0
504,475.0
505,275.0
506,-75.0
507,-25.0
508,1075.0
509,25.0
510,175.0
511,175.0
512,-25.0
513,175.0
514,25.0
515,175.0
516,-75.0
517,175.0
518,175.0
519,25.0
520,175.0
521,275.0
522,-75.0
523,25.0
524,-75.0
525,-75.0
526,-25.0
527,875.0
528,25.0
529,675.0
530,25.0
531,25.0
532,25.0
533,125.0
534,-75.0
535,-75.0
536,125.0
537,125.0
538,25.0
539,-25.0
540,-25.0
541,25.0
542,25.0
543,175.0
544,25.0
545,475.0
546,275.0
547,675.0
548,175.0
549,-25.0
550,-75.0
551,275.0
552,25.0
553,-25.0
554,-75.0
555,25.0
556,-75.0
557,-75.0
558,125.0
559,75.0
560,-25.0
561,475.0
562,-25.0
563,-25.0
564,925.0
565,175.0
566,-25.0
567,-75.0
568,25.0
569,125.0
570,-75.0
571,175.0
572,-75.0
573,175.0
574,25.0
575,75.0
576,175.0
577,25.0
578,475.0
579,275.0
580,75.0
581,-75.0
582,75.0
583,1175.0
584,-25.0
585,25.0
586,25.0
587,75.0
588,475.0
589,75.0
590,-75.0
591,-25.0
592,75.0
593,-75.0
594,-75.0
595,75.0
596,25.0
597,175.0
598,75.0
599,-75.0
600,75.0
601,-75.0
602,1025.0
603,-25.0
604,175.0
605,675.0
606,-75.0
607,-25.0
608,375.0
609,-25.0
610,-75.0
611,-25.0
612,-25.0
613,-75.0
614,175.0
615,-75.0
616,575.0
617,25.0
618,-75.0
619,-75.0
620,1025.0
621,125.0
622,675.0
623,175.0
624,75.0
625,-75.0
626,125.0
627,125.0
628,825.0
629,175.0
630,-75.0
631,-25.0
632,375.0
633,-75.0
634,675.0
635,-75.0
636,-75.0
637,75.0
638,925.0
639,-25.0
640,275.0
641,25.0
642,-25.0
643,175.0
644,375.0
645,-75.0
646,175.0
647,275.0
648,75.0
649,25.0
650,-25.0
651,-75.0
652,125.0
653,75.0
654,75.0
655,75.0
656,-75.0
657,25.0
658,-75.0
659,-25.0
660,925.0
661,25.0
662,1175.0
663,-25.0
664,25.0
665,-25.0
666,975.0
667,-25.0
668,75.0
669,375.0
670,675.0
671,-75.0
672,125.0
673,75.0
674,575.0
675,-25.0
676,125.0
677,175.0
678,125.0
679,75.0
680,175.0
681,-25.0
682,-25.0
683,-75.0
684,-25.0
685,75.0
686,275.0
687,125.0
688,175.0
689,1375.0
690,675.0
691,-75.0
692,25.0
693,175.0
694,25.0
