#{"t_start": 1788541177.4510465, "env_id": "None"}
r,l,t
125.0,5,2.789041
-25.0,2,2.795893
-25.0,2,2.802062
-125.0,3,2.810478
75.0,1,2.81376
75.0,3,2.82187
-25.0,2,2.827942
-75.0,1,2.831407
-75.0,1,2.834687
-75.0,1,2.837777
-75.0,1,2.840798
-25.0,2,2.846596
-125.0,3,2.85454
-25.0,2,2.859349
-75.0,1,2.862219
-25.0,2,2.86693
75.0,4,2.878376
-75.0,1,2.881875
75.0,1,2.885201
-25.0,2,2.892329
25.0,3,2.902496
-75.0,1,2.905905
25.0,3,2.916352
-75.0,1,2.920127
-425.0,6,2.938141
175.0,6,2.952324
75.0,1,2.95494
25.0,3,2.963053
225.0,7,2.983677
-25.0,2,2.989804
75.0,1,2.993209
-75.0,1,2.996988
75.0,3,3.00625
-25.0,2,3.012673
75.0,3,3.022181
75.0,1,3.025449
-75.0,1,3.029253
-75.0,1,3.032619
375.0,6,3.049892
-75.0,1,3.052866
-75.0,1,3.055917
25.0,3,3.064428
-75.0,1,3.067488
-75.0,1,3.071108
75.0,3,3.079973
-75.0,1,3.082939
-25.0,2,3.088303
75.0,4,3.098814
-75.0,1,3.101955
-125.0,1,3.105662
-25.0,2,3.112427
-25.0,2,3.118681
-25.0,2,3.124916
-225.0,4,3.140241
75.0,4,3.152675
-25.0,2,3.158879
-75.0,1,3.162303
-75.0,1,3.165588
-25.0,2,3.171025
575.0,14,3.206755
-125.0,1,3.209593
75.0,1,3.212639
-75.0,1,3.215625
125.0,5,3.230621
75.0,1,3.234588
-75.0,1,3.238116
75.0,1,3.241369
-75.0,1,3.245453
25.0,3,3.254901
-25.0,2,3.261126
-75.0,1,3.264376
-25.0,2,3.269837
-25.0,2,3.275657
-125.0,1,3.278728
-25.0,2,3.28432
75.0,4,3.295589
-75.0,1,3.29891
-25.0,2,3.305587
25.0,3,3.315271
-75.0,1,3.318716
-25.0,2,3.324697
75.0,1,3.327826
-25.0,2,3.334185
-75.0,1,3.337431
75.0,1,3.341049
-25.0,2,3.347632
-125.0,1,3.350815
-25.0,2,3.357085
-25.0,2,3.363635
-75.0,1,3.366889
-125.0,1,3.37042
75.0,1,3.374349
-75.0,1,3.377811
75.0,1,3.383876
-25.0,2,3.393789
-75.0,1,3.397947
-25.0,2,3.403667
-25.0,2,3.409368
-125.0,1,3.412428
