#{"t_start": 1788542983.2141814, "env_id": "None"}
r,l,t
1.25,5,2.570438
-0.25,2,2.576442
-0.25,2,2.583142
-1.25,3,2.593605
0.75,1,2.596428
0.75,3,2.604129
-0.25,2,2.609594
-0.75,1,2.612456
-0.75,1,2.615111
-0.75,1,2.617644
-0.75,1,2.623022
-0.25,2,2.633728
-1.25,3,2.643346
-0.25,2,2.649342
-0.75,1,2.652667
-0.25,2,2.659795
0.75,4,2.672704
-0.75,1,2.675965
0.75,1,2.679493
-0.25,2,2.68556
0.25,3,2.698751
-0.75,1,2.701868
0.25,3,2.711234
-0.75,1,2.71425
-4.25,6,2.73028
1.75,6,2.744753
0.75,1,2.748574
0.25,3,2.757491
2.25,7,2.776459
-0.25,2,2.781861
0.75,1,2.784551
-0.75,1,2.78781
0.75,3,2.795812
-0.25,2,2.800676
0.75,3,2.80855
0.75,1,2.81166
-0.75,1,2.814699
-0.75,1,2.817437
3.75,6,2.832521
-0.75,1,2.835066
-0.75,1,2.838131
0.25,3,2.846162
-0.75,1,2.848886
-0.75,1,2.851737
0.75,3,2.859873
-0.75,1,2.862781
-0.25,2,2.868045
0.75,4,2.878742
-0.75,1,2.881678
-1.25,1,2.884566
-0.25,2,2.890387
-0.25,2,2.89597
-0.25,2,2.901106
-2.25,4,2.911299
0.75,4,2.920825
-0.25,2,2.926049
-0.75,1,2.929176
-0.75,1,2.932179
-0.25,2,2.937675
5.75,14,2.98356
-1.25,1,2.986925
0.75,1,2.989898
-0.75,1,2.992931
1.25,5,3.006517
0.75,1,3.00935
-0.75,1,3.012122
0.75,1,3.014726
-0.75,1,3.017474
0.25,3,3.025
-0.25,2,3.030164
-0.75,1,3.033013
-0.25,2,3.038292
-0.25,2,3.04336
-1.25,1,3.045965
-0.25,2,3.050838
0.75,4,3.06048
-0.75,1,3.063174
-0.25,2,3.0686
0.25,3,3.077178
-0.75,1,3.08026
-0.25,2,3.085842
0.75,1,3.089001
-0.25,2,3.095273
-0.75,1,3.098393
0.75,1,3.101406
-0.25,2,3.107534
-1.25,1,3.110568
-0.25,2,3.116
-0.25,2,3.121278
-0.75,1,3.123919
-1.25,1,3.126652
0.75,1,3.129305
-0.75,1,3.131881
0.75,1,3.134496
-0.25,2,3.14013
-0.75,1,3.142885
-0.25,2,3.147963
-0.25,2,3.155154
-1.25,1,3.160124
-0.75,1,3.164747
-0.75,1,3.167668
-0.75,1,3.170593
-0.25,2,3.176198
-0.75,1,3.179349
-0.75,1,3.182261
-0.25,2,3.187845
-0.25,2,3.193815
-0.75,1,3.197224
0.75,4,3.20813
-0.25,2,3.21357
0.75,3,3.221331
0.75,1,3.224248
-0.75,1,3.226972
-0.25,2,3.231953
0.25,3,3.239169
-0.25,2,3.243911
-0.75,1,3.246425
-0.25,2,3.251134
-0.75,1,3.253995
-0.25,2,3.259051
-0.75,1,3.261614
1.75,6,3.275629
-0.75,1,3.278481
-0.25,2,3.283843
0.75,4,3.294011
-0.75,1,3.296937
-0.75,1,3.299808
-0.75,1,3.302796
2.25,4,3.314018
-0.25,2,3.319313
-0.75,1,3.325209
-0.25,2,3.332067
-0.25,2,3.337548
0.75,1,3.34048
-0.75,1,3.343086
-0.25,2,3.347799
-0.75,1,3.350281
-0.25,2,3.355498
0.75,1,3.358146
0.75,4,3.367487
-1.25,1,3.370434
-0.25,2,3.375403
-0.25,2,3.381088
0.25,3,3.389577
-0.25,2,3.39539
-0.75,1,3.39825
1.75,6,3.413914
-0.25,2,3.419586
-0.25,2,3.42512
-0.75,1,3.428212
-0.75,1,3.430964
-0.25,2,3.436143
-0.75,1,3.43946
0.75,4,3.450069
0.75,1,3.452687
0.25,3,3.461526
-0.25,2,3.466405
-0.75,1,3.469378
-0.75,1,3.472106
-0.75,1,3.474763
-1.25,1,3.477292
-0.25,2,3.482137
1.25,3,3.490946
0.75,4,3.504057
-0.75,1,3.507478
0.75,4,3.5187
-0.75,1,3.522006
-0.75,1,3.525129
-0.75,1,3.527997
-0.75,1,3.530636
0.75,4,3.540851
-0.75,1,3.543401
-0.75,1,3.545908
-0.75,1,3.548393
-0.25,2,3.553308
-0.75,1,3.555979
-0.25,2,3.560923
-0.75,1,3.563728
0.75,4,3.574369
-0.75,1,3.576984
-0.75,1,3.579681
-0.75,1,3.582556
-0.25,2,3.590434
-0.25,2,3.596412
0.75,1,3.599335
-0.75,1,3.602218
-0.25,2,3.608023
0.75,1,3.610889
0.75,4,3.621339
-1.25,1,3.624307
-0.75,1,3.62734
-0.25,2,3.632586
0.25,3,3.640182
-0.25,2,3.645059
0.25,3,3.652307
-0.25,2,3.657352
-0.25,2,3.663953
-0.75,1,3.666605
-1.25,6,3.680526
-0.75,1,3.683009
-0.25,2,3.688067
-0.25,2,3.693258
0.75,1,3.695848
-0.75,1,3.698761
-1.25,1,3.701572
-0.75,1,3.704674
-1.25,3,3.713187
-0.75,1,3.716174
0.25,3,3.724754
0.75,3,3.734468
-0.25,2,3.740729
0.75,4,3.751946
