#{"t_start": 1788994989.4793754, "env_id": "None"}
r,l,t
1.25,5,3.21187
-0.25,2,3.216852
-0.25,2,3.22184
-1.25,3,3.228911
0.75,1,3.231647
0.25,3,3.239139
-0.25,2,3.244346
-0.75,1,3.247686
-0.75,1,3.250766
-0.75,1,3.253868
-0.75,1,3.256581
-0.25,2,3.262027
0.25,3,3.269639
-0.25,2,3.2755
-0.75,1,3.278295
-0.25,2,3.283448
2.25,4,3.293927
-0.75,1,3.297081
-0.75,1,3.30075
-0.25,2,3.307838
0.25,3,3.315468
-0.75,1,3.317971
0.25,3,3.325363
-0.75,1,3.328053
-2.75,6,3.341548
1.75,6,3.357126
0.75,1,3.359753
0.25,3,3.366947
2.25,7,3.382262
-0.25,2,3.386847
0.75,1,3.389417
-0.75,1,3.392094
0.25,3,3.399175
-0.25,2,3.404019
0.75,3,3.411108
0.75,1,3.41351
-0.75,1,3.416236
-0.75,1,3.419005
1.75,6,3.433234
-0.75,1,3.435667
-0.75,1,3.438126
0.25,3,3.44489
-0.75,1,3.44746
0.75,1,3.449933
1.25,3,3.45723
-1.25,1,3.46012
-0.25,2,3.466118
0.75,4,3.475891
-0.75,1,3.478505
-0.75,1,3.481318
-0.25,2,3.486536
-0.25,2,3.491731
-0.25,2,3.496701
0.75,4,3.505564
0.75,4,3.514145
-0.25,2,3.518456
-0.75,1,3.52077
-0.75,1,3.523131
-0.25,2,3.527479
5.75,14,3.557757
-0.75,1,3.560245
0.75,1,3.562551
-0.75,1,3.564957
1.25,5,3.577107
0.75,1,3.580052
-0.75,1,3.582711
-0.75,1,3.585331
-0.75,1,3.588098
0.25,3,3.595666
-0.25,2,3.600583
0.75,1,3.603262
-0.25,2,3.608089
-0.25,2,3.612831
-1.25,1,3.615448
-0.25,2,3.620219
0.75,4,3.62902
-0.75,1,3.63164
-0.25,2,3.636537
0.25,3,3.643422
-0.75,1,3.646073
-0.25,2,3.650967
-0.75,1,3.653574
-0.25,2,3.658332
0.75,1,3.66082
0.75,1,3.663176
-0.25,2,3.667821
-0.75,1,3.670321
-0.25,2,3.67499
-0.25,2,3.679677
0.75,1,3.682451
-0.75,1,3.685067
