episode,reward
0,-25.0
1,25.0
2,-25.0
3,-125.0
4,75.0
5,25.0
6,25.0
7,75.0
8,-75.0
9,-75.0
10,75.0
11,-25.0
12,25.0
13,-25.0
14,-75.0
15,-25.0
16,125.0
17,-75.0
18,-75.0
19,-25.0
20,175.0
21,-75.0
22,-125.0
23,-75.0
24,225.0
25,175.0
26,-75.0
27,25.0
28,475.0
29,-25.0
30,75.0
31,-75.0
32,-125.0
33,-25.0
34,25.0
35,-75.0
36,-75.0
37,75.0
38,175.0
39,-75.0
40,-125.0
41,50.0
42,-25.0
43,-75.0
44,-75.0
45,100.0
46,-75.0
47,-75.0
48,-25.0
49,75.0
50,-75.0
51,75.0
52,-25.0
53,-25.0
54,-25.0
55,225.0
56,-125.0
57,-75.0
58,75.0
59,-25.0
60,400.0
61,25.0
62,75.0
63,-75.0
64,-75.0
65,-25.0
66,-75.0
67,-75.0
68,75.0
69,-75.0
70,175.0
71,125.0
72,75.0
73,-175.0
74,-25.0
75,-75.0
76,-175.0
77,75.0
78,-75.0
79,-25.0
80,25.0
81,-75.0
82,-25.0
83,-75.0
84,-25.0
85,-75.0
86,-75.0
87,-25.0
88,-75.0
89,125.0
90,-25.0
91,-125.0
92,75.0
93,-75.0
94,-75.0
95,-75.0
96,-175.0
97,-75.0
98,-25.0
99,-25.0
100,-125.0
101,-75.0
102,-75.0
103,-75.0
104,50.0
105,75.0
106,-75.0
107,75.0
108,75.0
109,75.0
110,50.0
111,-275.0
112,125.0
113,25.0
114,75.0
115,-75.0
116,-25.0
117,25.0
118,-25.0
119,-75.0
120,125.0
121,-75.0
122,-175.0
123,-75.0
124,175.0
125,75.0
126,-25.0
127,125.0
128,-125.0
129,-75.0
130,-75.0
131,225.0
132,-25.0
133,-75.0
134,-25.0
135,-25.0
136,-75.0
137,-75.0
138,-25.0
139,-75.0
140,-25.0
141,-75.0
142,75.0
143,75.0
144,-25.0
145,-25.0
146,25.0
147,125.0
148,-75.0
149,175.0
150,25.0
151,-25.0
152,-125.0
153,-75.0
154,-25.0
155,-75.0
156,175.0
157,-75.0
158,25.0
159,-175.0
160,-75.0
161,75.0
162,75.0
163,-75.0
164,-25.0
165,75.0
166,225.0
167,-75.0
168,225.0
169,-75.0
170,-75.0
171,-75.0
172,-75.0
173,-375.0
174,-75.0
175,75.0
176,-75.0
177,-25.0
178,-125.0
179,-25.0
180,75.0
181,75.0
182,-75.0
183,75.0
184,-75.0
185,-25.0
186,125.0
187,-75.0
188,25.0
189,-75.0
190,-225.0
191,-75.0
192,-75.0
193,-175.0
194,25.0
195,-25.0
196,-125.0
197,-25.0
198,125.0
199,-75.0
200,-425.0
201,-75.0
202,-25.0
203,125.0
204,75.0
205,-75.0
206,-75.0
207,-75.0
208,25.0
209,-75.0
210,25.0
211,50.0
212,-25.0
213,-25.0
214,-75.0
215,-75.0
216,-25.0
217,-75.0
218,75.0
219,-25.0
220,-125.0
221,50.0
222,-75.0
223,-75.0
224,125.0
225,-75.0
226,25.0
227,-75.0
228,-75.0
229,-75.0
230,-175.0
231,-25.0
