episode,reward
0,1.25
1,-0.25
2,-0.25
3,-1.25
4,0.75
5,0.75
6,-0.25
7,-0.75
8,-0.75
9,-0.75
10,-0.75
11,-0.25
12,-1.25
13,-0.25
14,-0.75
15,-0.25
16,0.75
17,-0.75
18,0.75
19,-0.25
20,0.25
21,-0.75
22,0.25
23,-0.75
24,-4.25
25,1.75
26,0.75
27,0.25
28,2.25
29,-0.25
30,0.75
31,-0.75
32,0.75
33,-0.25
34,0.75
35,0.75
36,-0.75
37,-0.75
38,3.75
39,-0.75
40,-0.75
41,0.25
42,-0.75
43,-0.75
44,0.75
45,-0.75
46,-0.25
47,0.75
48,-0.75
49,-1.25
50,-0.25
51,-0.25
52,-0.25
53,-2.25
54,0.75
55,-0.25
56,-0.75
57,-0.75
58,-0.25
59,5.75
60,-1.25
61,0.75
62,-0.75
63,1.25
64,0.75
65,-0.75
66,0.75
67,-0.75
68,0.25
69,-0.25
70,-0.75
71,-0.25
72,-0.25
73,-1.25
74,-0.25
75,0.75
76,-0.75
77,-0.25
78,0.25
79,-0.75
80,-0.25
81,0.75
82,-0.25
83,-0.75
84,0.75
85,-0.25
86,-1.25
87,-0.25
88,-0.25
89,-0.75
90,-1.25
91,0.75
92,-0.75
93,0.75
94,-0.25
95,-0.75
96,-0.25
97,-0.25
98,-1.25
99,-0.75
100,-0.75
101,-0.75
102,-0.25
103,-0.75
104,-0.75
105,-0.25
106,-0.25
107,-0.75
108,0.75
109,-0.25
110,0.75
111,0.75
112,-0.75
113,-0.25
114,0.25
115,-0.25
116,-0.75
117,-0.25
118,-0.75
119,-0.25
120,-0.75
121,1.75
122,-0.75
123,-0.25
124,0.75
125,-0.75
126,-0.75
127,-0.75
128,2.25
129,-0.25
130,-0.75
131,-0.25
132,-0.25
133,0.75
134,-0.75
135,-0.25
136,-0.75
137,-0.25
138,0.75
139,0.75
140,-1.25
141,-0.25
142,-0.25
143,0.25
144,-0.25
145,-0.75
146,1.75
147,-0.25
148,-0.25
149,-0.75
150,-0.75
151,-0.25
152,-0.75
153,0.75
154,0.75
155,0.25
156,-0.25
157,-0.75
158,-0.75
159,-0.75
160,-1.25
161,-0.25
162,1.25
163,0.75
164,-0.75
165,0.75
166,-0.75
167,-0.75
168,-0.75
169,-0.75
170,0.75
171,-0.75
172,-0.75
173,-0.75
174,-0.25
175,-0.75
176,-0.25
177,-0.75
178,0.75
179,-0.75
180,-0.75
181,-0.75
182,-0.25
183,-0.25
184,0.75
185,-0.75
186,-0.25
187,0.75
188,0.75
189,-1.25
190,-0.75
191,-0.25
192,0.25
193,-0.25
194,0.25
195,-0.25
196,-0.25
197,-0.75
198,-1.25
199,-0.75
200,-0.25
201,-0.25
202,0.75
203,-0.75
204,-1.25
205,-0.75
206,-1.25
207,-0.75
208,0.25
209,0.75
210,-0.25
211,0.75
212,-0.75
213,-0.25
214,-0.75
215,-3.75
216,-0.25
217,-1.25
218,-0.25
219,-1.25
220,-0.25
221,-0.75
222,0.25
223,-0.75
224,-0.75
225,-0.75
226,-0.25
227,-0.25
228,0.75
229,-1.25
230,-0.75
231,-0.75
232,0.75
233,-0.25
234,-0.25
235,-0.75
236,-0.25
237,-0.25
238,1.75
239,1.75
240,-0.75
241,-0.25
242,-0.25
243,0.75
244,-0.75
245,1.25
246,-0.25
247,1.25
248,-0.75
249,-0.25
250,0.75
251,2.25
252,-0.75
253,-0.75
254,0.75
255,-0.25
256,0.25
257,-0.75
258,-0.75
259,-0.75
260,0.75
261,-0.25
262,0.25
263,2.25
264,-0.25
265,0.25
266,-0.25
267,-0.25
268,0.25
269,0.75
270,-0.25
271,-0.75
272,1.25
273,0.75
274,-2.25
275,-0.25
276,-0.75
277,-2.25
278,0.75
279,0.25
280,-0.25
281,0.25
282,0.25
283,-0.25
284,-0.25
285,-0.75
286,1.25
287,1.25
288,-0.25
289,-0.25
290,-0.75
291,-0.25
292,0.25
293,-0.25
294,-3.75
295,2.75
296,-0.75
297,-1.25
298,0.25
299,-0.75
300,-0.25
301,0.25
302,-0.75
303,-0.75
304,0.25
305,0.75
306,2.75
307,0.75
308,-1.25
309,-0.75
310,-0.25
311,-0.25
312,-0.25
313,-0.25
314,-0.75
315,-0.75
316,-0.75
317,-0.25
318,-0.75
319,0.25
320,1.25
321,-0.75
322,-0.25
323,-0.75
324,-0.25
325,-0.25
326,1.25
327,-0.75
328,1.25
329,-0.25
330,-0.75
331,-0.75
332,-0.75
333,0.75
334,-0.75
335,0.25
336,0.25
337,0.75
338,0.25
339,2.75
340,-0.25
341,-0.25
342,-0.75
343,0.75
344,-0.25
345,5.75
346,0.25
347,-0.75
