#{"t_start": 1788539743.7876291, "env_id": "None"}
r,l,t
125.0,5,2.409018
-25.0,2,2.414227
-25.0,2,2.419801
25.0,3,2.428039
-125.0,1,2.43102
25.0,3,2.439419
-25.0,2,2.445307
-75.0,1,2.448468
-75.0,1,2.451231
-125.0,1,2.454051
-75.0,1,2.456888
-25.0,2,2.462331
25.0,3,2.470146
-25.0,2,2.477822
-75.0,1,2.481066
-25.0,2,2.486646
75.0,4,2.497225
-125.0,1,2.500302
-75.0,1,2.503525
-25.0,2,2.509691
75.0,3,2.51817
-75.0,1,2.521072
75.0,3,2.52944
-75.0,1,2.532372
375.0,6,2.550394
-425.0,6,2.566669
-75.0,1,2.569829
25.0,3,2.578438
475.0,7,2.597179
-25.0,2,2.603044
-75.0,1,2.60621
-75.0,1,2.60905
25.0,3,2.616193
-25.0,2,2.621718
75.0,3,2.630788
-75.0,1,2.633542
-125.0,1,2.636576
-75.0,1,2.639697
375.0,6,2.6563
-75.0,1,2.659561
-75.0,1,2.66265
25.0,3,2.670917
-75.0,1,2.673987
-75.0,1,2.676968
75.0,3,2.685822
-75.0,1,2.688904
-25.0,2,2.694427
175.0,4,2.705122
-75.0,1,2.707872
-75.0,1,2.710715
-25.0,2,2.716283
-25.0,2,2.721441
-25.0,2,2.726551
175.0,4,2.7368
175.0,4,2.746975
-25.0,2,2.752261
-75.0,1,2.755606
-75.0,1,2.759342
-25.0,2,2.764809
575.0,14,2.80047
-75.0,1,2.803239
-75.0,1,2.806161
-125.0,1,2.809251
125.0,5,2.82209
-75.0,1,2.824957
-75.0,1,2.827716
-125.0,1,2.830431
-75.0,1,2.833396
25.0,3,2.841006
-25.0,2,2.846237
-75.0,1,2.849021
-25.0,2,2.854575
-25.0,2,2.859884
-125.0,1,2.862472
-25.0,2,2.867846
75.0,4,2.877959
-125.0,1,2.880853
-25.0,2,2.886531
25.0,3,2.894972
-75.0,1,2.898633
-25.0,2,2.904655
-75.0,1,2.907897
-25.0,2,2.913853
-75.0,1,2.91705
-125.0,1,2.920223
-25.0,2,2.925603
-75.0,1,2.928634
-25.0,2,2.934309
-25.0,2,2.939693
-125.0,1,2.942535
-75.0,1,2.945416
-75.0,1,2.948262
-75.0,1,2.951105
-75.0,1,2.953903
-25.0,2,2.959214
-75.0,1,2.962159
-25.0,2,2.967734
-25.0,2,2.973426
-75.0,1,2.976315
-75.0,1,2.979223
-75.0,1,2.982213
-75.0,1,2.985034
-25.0,2,2.990672
-75.0,1,2.99371
-125.0,1,2.996847
75.0,4,3.007856
-75.0,1,3.010779
75.0,4,3.020805
-25.0,2,3.026046
25.0,3,3.033669
-125.0,1,3.036666
-75.0,1,3.039843
-25.0,2,3.045234
25.0,3,3.05292
-25.0,2,3.058337
-75.0,1,3.060997
-25.0,2,3.066133
-75.0,1,3.068733
-25.0,2,3.073768
-75.0,1,3.076523
175.0,6,3.091301
-75.0,1,3.094182
-25.0,2,3.099875
75.0,4,3.111038
-75.0,1,3.113628
-125.0,1,3.116271
-75.0,1,3.118812
75.0,4,3.128541
-25.0,2,3.133744
-75.0,1,3.136481
-25.0,2,3.141771
-25.0,2,3.147043
-125.0,1,3.149772
-125.0,1,3.152506
-25.0,2,3.157817
-75.0,1,3.160449
-25.0,2,3.165453
-75.0,1,3.168117
75.0,4,3.177876
-75.0,1,3.180566
-25.0,2,3.185985
-25.0,2,3.190904
25.0,3,3.198462
-25.0,2,3.203655
-75.0,1,3.206229
175.0,6,3.220933
-25.0,2,3.225958
-25.0,2,3.230993
-75.0,1,3.233761
-75.0,1,3.236515
-25.0,2,3.241863
-75.0,1,3.244544
75.0,4,3.254348
-75.0,1,3.25737
25.0,3,3.264905
-25.0,2,3.270032
-75.0,1,3.272756
-75.0,1,3.275415
-75.0,1,3.278175
-75.0,1,3.280957
-25.0,2,3.286127
75.0,3,3.293781
75.0,4,3.303715
-75.0,1,3.306875
75.0,4,3.317741
-75.0,1,3.320463
-75.0,1,3.323088
-75.0,1,3.325765
-75.0,1,3.328419
75.0,4,3.338337
-75.0,1,3.341416
-75.0,1,3.344446
-75.0,1,3.347173
-25.0,2,3.352248
-75.0,1,3.354892
-25.0,2,3.360564
-75.0,1,3.363661
75.0,4,3.374268
-75.0,1,3.377046
-125.0,1,3.379793
-125.0,1,3.382567
-25.0,2,3.387889
-25.0,2,3.393159
-125.0,1,3.396084
-75.0,1,3.398833
-25.0,2,3.404634
-125.0,1,3.407727
75.0,4,3.417956
-75.0,1,3.420509
-75.0,1,3.423301
-25.0,2,3.428452
25.0,3,3.435848
-25.0,2,3.441098
25.0,3,3.448676
-25.0,2,3.453893
-25.0,2,3.459024
-75.0,1,3.461731
175.0,6,3.477417
-75.0,1,3.480247
-25.0,2,3.485399
-25.0,2,3.490728
-125.0,1,3.493918
-75.0,1,3.496942
-75.0,1,3.499852
-75.0,1,3.502544
25.0,3,3.510625
-75.0,1,3.51355
25.0,3,3.521472
25.0,3,3.529373
-25.0,2,3.534832
-225.0,4,3.546498
-75.0,1,3.549192
-25.0,2,3.554301
-75.0,1,3.55695
75.0,4,3.566914
-25.0,2,3.572093
-75.0,1,3.574922
-25.0,2,3.580126
-75.0,1,3.582903
-25.0,2,3.588136
-75.0,1,3.590845
75.0,3,3.598514
-75.0,1,3.601565
-75.0,1,3.604338
-75.0,1,3.607067
-25.0,2,3.612235
-25.0,2,3.617353
75.0,4,3.627234
75.0,3,3.63476
-75.0,1,3.63744
-75.0,1,3.640192
75.0,4,3.650488
-25.0,2,3.6558
-25.0,2,3.661055
-75.0,1,3.663773
-25.0,2,3.668788
-25.0,2,3.673907
175.0,6,3.688848
175.0,6,3.70306
-75.0,1,3.705631
-25.0,2,3.710384
-25.0,2,3.715463
75.0,4,3.725209
-125.0,1,3.728059
125.0,5,3.740444
-25.0,2,3.745439
125.0,5,3.75809
-75.0,1,3.760978
-25.0,2,3.766174
75.0,4,4.441038
125.0,5,4.454295
75.0,1,4.457425
-125.0,1,4.46049
-75.0,1,4.463463
-25.0,2,4.469006
25.0,3,4.477893
-75.0,1,4.481018
-75.0,1,4.483948
-75.0,1,4.486958
-75.0,1,4.48992
-25.0,2,4.495744
75.0,3,4.504875
475.0,7,4.527453
-25.0,2,4.533809
25.0,3,4.544034
-25.0,2,4.55849
-25.0,2,4.571545
25.0,3,4.589761
75.0,4,4.613095
-25.0,2,4.625257
-75.0,1,4.631473
75.0,3,4.649149
-125.0,3,4.66726
225.0,7,4.688863
-25.0,2,4.694869
-75.0,1,4.699065
75.0,4,4.713212
175.0,4,4.727815
25.0,3,4.736518
-25.0,2,4.741612
175.0,6,4.756999
25.0,3,4.764513
-25.0,2,4.769805
-25.0,2,4.774818
-75.0,1,4.778029
25.0,3,4.785861
125.0,5,4.799512
-25.0,2,4.805028
-25.0,2,4.810325
-125.0,1,4.813045
-25.0,2,4.818369
25.0,3,4.826026
-25.0,2,4.831091
75.0,4,4.840951
275.0,8,4.86024
225.0,7,4.877759
25.0,3,4.885474
