#{"t_start": 1789430726.8287349, "env_id": "None"}
r,l,t
-3.25,5,3.93994
-0.25,2,3.951579
-0.25,2,3.962579
-1.25,3,3.978257
-0.75,1,3.983454
-2.75,3,3.998408
-0.25,2,4.009074
-0.75,1,4.014763
-0.75,1,4.01964
-0.25,1,4.024921
-0.75,1,4.030216
-0.25,2,4.040319
0.75,3,4.055598
-0.25,2,4.066352
-0.75,1,4.071079
-0.75,2,4.082595
-0.75,4,4.102062
-0.75,1,4.108011
-0.75,1,4.113141
-0.25,2,4.123722
0.25,3,4.139344
-0.25,1,4.144752
0.25,3,4.160361
0.75,1,4.171486
1.75,6,4.216903
-1.75,6,4.247255
-0.75,1,4.253604
-0.75,3,4.269435
-0.75,7,4.305411
-0.25,2,4.316595
-0.75,1,4.322563
-0.75,1,4.328747
-2.25,3,4.345555
-0.25,2,4.356747
-2.25,3,4.372182
-0.75,1,4.378384
-0.75,1,4.384434
-0.75,1,4.390128
-0.75,6,4.42059
-0.75,1,4.425885
-1.25,1,4.431278
0.25,3,4.447592
-1.25,1,4.452896
-0.75,1,4.458547
0.25,3,4.475515
-0.75,1,4.480906
-1.25,2,4.492193
0.75,4,4.512489
-0.75,1,4.518457
-0.75,1,4.523279
-0.75,2,4.53392
-0.75,2,4.545644
-0.25,2,4.556309
0.75,4,4.576973
1.75,4,4.597805
-0.25,2,4.610525
-0.25,1,4.616509
-0.75,1,4.622777
-0.75,2,4.633516
-13.25,14,4.703478
-0.75,1,4.708796
-0.75,1,4.714692
-0.75,1,4.720843
1.25,5,4.746984
0.75,1,4.752886
-0.75,1,4.758464
-0.75,1,4.764243
-0.75,1,4.769006
-2.25,3,4.786055
-0.25,2,4.796376
-0.75,1,4.802706
-1.25,2,4.821875
-0.25,2,4.838075
-0.75,1,4.843488
-1.25,2,4.853733
0.75,4,4.874262
-0.25,1,4.879654
-0.25,2,4.890727
1.25,3,4.907189
-1.25,1,4.912615
-0.25,2,4.923739
-0.75,1,4.929938
-0.25,2,4.940764
-0.75,1,4.9461
-0.75,1,4.951317
-1.25,2,4.961603
-0.75,1,4.96689
-0.25,2,4.975984
-0.75,2,4.987016
0.75,1,4.993505
-0.75,1,4.999712
-0.75,1,5.005727
-0.75,1,5.011789
-0.25,1,5.017099
-0.25,2,5.028198
-0.75,1,5.034014
-1.25,2,5.044532
-0.75,2,5.055399
-0.75,1,5.062001
-0.75,1,5.067933
-0.75,1,5.073369
-0.75,1,5.079189
-1.25,2,5.093342
-0.75,1,5.098763
-1.25,1,5.104885
-0.25,2,5.116661
-0.25,2,5.127911
-0.75,1,5.133586
-0.75,4,5.154695
-0.25,2,5.165311
-2.75,3,5.185499
-0.75,1,5.191947
-0.75,1,5.197862
-0.25,2,5.209221
-0.75,3,5.225884
-0.25,2,5.237394
-0.75,1,5.243165
