#{"t_start": 1788536892.2124379, "env_id": "None"}
r,l,t
125.0,5,2.340373
-25.0,2,2.3461
-25.0,2,2.351445
25.0,3,2.360042
-75.0,1,2.362739
25.0,3,2.370915
-25.0,2,2.376078
-125.0,1,2.378932
-75.0,1,2.381556
-75.0,1,2.384208
-75.0,1,2.386894
-25.0,2,2.391935
-25.0,3,2.399557
-25.0,2,2.405033
-75.0,1,2.407754
50.0,1,2.410767
-75.0,1,2.413376
75.0,4,2.425417
75.0,1,2.428525
-75.0,1,2.431455
-25.0,2,2.437056
25.0,3,2.445182
-75.0,1,2.44815
25.0,3,2.456119
-75.0,1,2.459009
-125.0,6,2.475307
-125.0,6,2.48986
-75.0,1,2.492919
25.0,3,2.500581
225.0,7,2.518499
-25.0,2,2.523932
-75.0,1,2.526646
-75.0,1,2.529525
25.0,3,2.537328
-25.0,2,2.54256
25.0,3,2.550011
-75.0,1,2.552598
-75.0,1,2.555398
-75.0,1,2.558072
225.0,6,2.572757
-75.0,1,2.575249
-75.0,1,2.577736
25.0,3,2.584893
-75.0,1,2.587492
-75.0,1,2.590283
25.0,3,2.597616
-75.0,1,2.600167
-25.0,2,2.605292
75.0,4,2.615328
-125.0,1,2.618088
75.0,1,2.620635
-25.0,2,2.625356
-25.0,2,2.630384
-25.0,2,2.635184
75.0,4,2.644569
25.0,4,2.654226
-25.0,2,2.659389
-75.0,1,2.662154
-125.0,1,2.664896
-25.0,2,2.669924
575.0,14,2.70356
-75.0,1,2.706163
-75.0,1,2.708851
-75.0,1,2.711257
125.0,5,2.722844
-125.0,1,2.725399
-75.0,1,2.728159
-75.0,1,2.730701
-75.0,1,2.733145
25.0,3,2.740034
-25.0,2,2.744861
-75.0,1,2.74749
-25.0,2,2.752861
-25.0,2,2.758219
-75.0,1,2.760929
-25.0,2,2.767014
75.0,4,2.777727
-75.0,1,2.780869
-25.0,2,2.786142
25.0,3,2.793529
-75.0,1,2.796456
-25.0,2,2.801591
-125.0,1,2.804656
-25.0,2,2.809794
-75.0,1,2.812727
-75.0,1,2.815889
-25.0,2,2.821256
-75.0,1,2.824357
-25.0,2,2.829702
50.0,1,2.832579
-75.0,1,2.835394
-75.0,1,2.83831
-75.0,1,2.841369
-75.0,1,2.844221
-125.0,1,2.847046
-75.0,1,2.849895
-25.0,2,2.854866
-125.0,1,2.857817
-75.0,2,2.863459
-25.0,2,2.87023
-75.0,1,2.873618
-75.0,1,2.876958
-125.0,1,2.880296
-75.0,1,2.883208
-25.0,2,2.888177
-75.0,1,2.891083
-75.0,1,2.893884
-75.0,2,2.89901
-25.0,2,2.904353
-75.0,1,2.907304
75.0,4,2.917547
-25.0,2,2.922932
25.0,3,2.930837
-75.0,1,2.933688
-75.0,1,2.936437
-25.0,2,2.941491
25.0,3,2.949119
-25.0,2,2.954349
-75.0,1,2.957322
125.0,2,2.962668
-75.0,1,2.965435
-25.0,2,2.970531
