#{"t_start": 1789380743.2197962, "env_id": "None"}
r,l,t
1.25,5,2.602244
-0.25,2,2.612438
-0.25,2,2.618923
0.75,3,2.62858
-0.25,1,2.631999
-0.25,3,2.640646
-0.25,2,2.647787
-0.25,1,2.652507
-0.25,1,2.656654
-0.25,1,2.660594
-0.25,1,2.66421
-0.25,2,2.671932
-1.25,3,2.682104
-0.25,2,2.68812
-0.25,1,2.691082
-0.25,2,2.696671
-0.25,4,2.70699
-0.25,1,2.70998
-0.25,1,2.712662
-0.25,2,2.717582
-0.25,3,2.725539
-0.25,1,2.729052
-0.25,3,2.73698
-0.25,1,2.73976
2.5,5,2.752212
-0.25,1,2.754873
-2.25,6,2.769726
0.25,1,2.772697
-0.25,3,2.780696
-0.25,7,2.798727
-0.25,2,2.803929
-0.25,1,2.806759
-0.25,1,2.80986
-0.25,3,2.817453
-0.25,2,2.82247
-0.25,3,2.832964
-0.25,1,2.836092
-0.25,1,2.839261
-0.25,1,2.842466
-0.25,6,2.858184
-0.25,1,2.860919
-0.25,1,2.863837
-0.75,3,2.871804
-0.25,1,2.874688
-0.25,1,2.87758
-0.25,3,2.8858
0.25,1,2.888639
-0.25,2,2.894176
-0.25,4,2.904765
-0.25,1,2.907648
-0.25,1,2.910511
-0.25,2,2.91597
-0.25,2,2.921621
-0.25,2,2.92711
1.25,4,2.937896
0.75,4,2.948933
-0.25,2,2.954394
-0.25,1,2.957302
-0.25,1,2.960256
-0.25,2,2.965664
-2.5,7,2.983965
0.0,5,2.997386
0.25,2,3.003545
0.25,1,3.006745
-0.25,1,3.009912
0.25,1,3.013306
-0.25,5,3.027841
-0.25,1,3.031235
-0.25,1,3.034629
-0.75,1,3.03804
0.25,1,3.041435
-0.25,3,3.051235
-0.25,2,3.056677
-0.25,1,3.05957
-0.25,2,3.064857
-0.25,2,3.07024
0.25,1,3.07327
-0.25,2,3.078361
-0.25,4,3.091769
-0.25,1,3.09499
-0.25,2,3.100728
-0.25,3,3.108881
-0.25,1,3.111748
-0.25,2,3.117144
-0.25,1,3.120021
-0.25,2,3.125479
-0.25,1,3.128357
-0.25,1,3.131138
-0.25,2,3.136506
-0.25,1,3.139154
-0.25,2,3.1443
-0.25,2,3.1495
-0.25,1,3.152382
-0.25,1,3.155019
-0.25,1,3.158015
-0.25,1,3.160849
-0.25,1,3.163673
-0.25,2,3.169013
-0.25,1,3.171816
-0.25,2,3.176908
-0.25,2,3.182096
-0.25,1,3.184884
-0.25,1,3.187406
-0.25,1,3.190065
0.25,1,3.192864
-0.25,2,3.197908
-0.75,1,3.200515
0.25,1,3.203226
0.0,3,3.210676
0.25,1,3.213415
-0.25,1,3.216039
0.75,4,3.226057
-0.25,2,3.230981
-0.25,3,3.23841
-0.25,1,3.24109
-0.25,1,3.243928
-0.25,2,3.248927
-0.25,3,3.258312
-0.25,2,3.263616
0.25,1,3.266454
-0.25,2,3.271673
-0.25,1,3.274528
-0.25,2,3.27973
-0.75,1,3.282534
0.0,3,3.290663
-0.25,3,3.29879
-0.25,1,3.301509
-0.25,2,3.306602
-0.25,4,3.316592
-0.25,1,3.319345
-0.25,1,3.322364
-0.25,1,3.325362
1.25,4,3.335626
