#{"t_start": 1788756738.2250724, "env_id": "None"}
r,l,t
-3.25,5,2.326336
-1.25,2,2.330987
-0.25,2,2.335376
-1.25,3,2.341436
0.75,1,2.343556
-1.25,3,2.349483
-0.25,2,2.353478
-0.25,1,2.355611
-0.75,1,2.357705
0.75,1,2.359862
-0.25,1,2.362002
-1.25,2,2.366168
0.25,3,2.372582
-0.25,2,2.376857
-0.75,1,2.379127
-0.25,2,2.383296
-3.25,4,2.394691
-0.75,1,2.397537
0.75,1,2.40025
-0.25,2,2.40666
-1.25,3,2.415665
0.75,1,2.418592
-1.25,3,2.425544
-0.75,1,2.42789
-5.25,6,2.440264
-4.25,6,2.452943
0.75,1,2.455631
-0.75,3,2.463099
-5.25,7,2.480448
-0.25,2,2.484878
-0.75,1,2.487109
0.75,1,2.489271
0.25,3,2.500249
-0.25,2,2.504825
-1.25,3,2.510828
-0.75,1,2.512937
0.75,1,2.515209
0.75,1,2.517233
-4.25,6,2.530378
-0.25,1,2.532403
-0.75,1,2.53493
-1.25,3,2.541357
0.75,1,2.543707
0.75,1,2.546048
-0.75,3,2.554284
-0.75,1,2.557392
-0.75,2,2.562922
-2.25,4,2.572538
0.75,1,2.575131
-0.75,1,2.578302
-0.25,2,2.584561
-0.75,2,2.591348
-0.25,2,2.597232
-2.25,4,2.606577
-0.75,4,2.614275
-0.25,2,2.6196
-0.75,1,2.622277
-0.75,1,2.6249
-0.25,2,2.6294
-11.0,11,2.649577
-1.25,3,2.654863
0.75,1,2.6569
0.75,1,2.658891
0.75,1,2.661002
0.75,5,2.671244
-0.25,1,2.673472
-0.25,1,2.675568
0.75,1,2.677754
0.75,1,2.679888
-2.25,3,2.686185
-0.25,2,2.690043
0.75,1,2.692177
-1.25,2,2.695905
-0.25,2,2.699645
0.75,1,2.701612
-0.25,2,2.705581
-3.25,4,2.713864
0.75,1,2.715984
-0.25,2,2.719907
-1.25,3,2.72554
0.75,1,2.727537
-0.25,2,2.731272
0.75,1,2.733274
-0.25,2,2.73703
-0.75,1,2.739069
0.75,1,2.741236
-0.25,2,2.745193
0.75,1,2.747566
-0.25,2,2.752139
-0.25,2,2.75682
-0.75,1,2.759237
0.75,1,2.761647
0.75,1,2.763979
0.75,1,2.766283
0.75,1,2.768724
