#{"t_start": 1788182106.9921272, "env_id": "None"}
r,l,t
275.0,5,2.073553
-142.990713,2,2.077075
22.521612,2,2.080609
-142.990713,3,2.08562
57.009287,1,2.087512
-142.990713,3,2.092558
-25.0,2,2.09668
-10.23455,1,2.098706
-125.0,1,2.100757
57.009287,1,2.102675
22.521612,1,2.104676
-44.722226,2,2.108324
-44.722226,3,2.11362
22.521612,2,2.117018
122.521612,1,2.118889
55.277774,2,2.122292
-310.23455,4,2.129076
155.277774,1,2.131209
155.277774,1,2.133292
-25.0,2,2.136974
-77.478388,3,2.142062
155.277774,1,2.144102
-44.722226,3,2.149396
-125.0,1,2.151467
-625.0,6,2.162025
375.0,6,2.171637
89.76545,1,2.173474
-177.478388,3,2.178324
-125.0,7,2.188792
-10.23455,2,2.192118
-125.0,1,2.193879
155.277774,1,2.195728
75.0,3,2.200581
22.521612,2,2.203737
-110.23455,3,2.208628
-125.0,1,2.210505
-125.0,1,2.212403
57.009287,1,2.214285
-225.0,6,2.223428
-125.0,1,2.225198
57.009287,1,2.227016
75.0,3,2.232015
89.76545,1,2.233879
57.009287,1,2.235678
-210.23455,3,2.24066
122.521612,1,2.242496
-44.722226,2,2.245961
175.0,4,2.252358
57.009287,1,2.254223
22.521612,1,2.256147
22.521612,2,2.259582
-77.478388,2,2.262902
22.521612,2,2.266168
-177.478388,4,2.272728
-342.990713,4,2.279127
-25.0,2,2.282377
155.277774,1,2.284056
57.009287,1,2.285838
-25.0,2,2.289235
100.0,11,2.306038
75.0,3,2.310764
57.009287,1,2.312708
-125.0,1,2.314629
155.277774,1,2.316474
275.0,5,2.324297
-42.990713,1,2.32607
-42.990713,1,2.327916
57.009287,1,2.329822
155.277774,1,2.331662
-242.990713,3,2.336668
-42.990713,2,2.340098
57.009287,1,2.341978
-44.722226,2,2.345474
55.277774,2,2.349372
89.76545,1,2.351755
-25.0,2,2.35621
-277.478388,4,2.364823
155.277774,1,2.367315
55.277774,2,2.371803
-110.23455,3,2.377994
122.521612,1,2.380084
-25.0,2,2.384168
-125.0,1,2.386237
-10.23455,2,2.390081
-42.990713,1,2.392159
122.521612,1,2.394243
22.521612,2,2.397989
-125.0,1,2.39997
-25.0,2,2.403743
-25.0,2,2.407413
89.76545,1,2.409339
155.277774,1,2.411319
155.277774,1,2.413184
57.009287,1,2.415216
122.521612,1,2.417233
-10.23455,2,2.420846
89.76545,1,2.422922
-42.990713,2,2.426934
-10.23455,2,2.431244
122.521612,1,2.433686
122.521612,1,2.436151
-125.0,1,2.438706
155.277774,1,2.441195
-142.990713,2,2.445741
89.76545,1,2.448266
-125.0,1,2.45073
22.521612,2,2.455321
-10.23455,2,2.460102
-125.0,1,2.462629
175.0,4,2.471544
-77.478388,2,2.476206
-110.23455,3,2.482991
-125.0,1,2.485518
-125.0,1,2.488039
-10.23455,2,2.492647
75.0,3,2.498834
55.277774,2,2.502755
155.277774,1,2.504915
-25.0,2,2.50874
-125.0,1,2.510854
-25.0,2,2.514593
55.277774,1,2.516578
-225.0,6,2.526452
122.521612,1,2.528292
-10.23455,2,2.53176
175.0,4,2.538194
155.277774,1,2.540105
155.277774,1,2.54195
155.277774,1,2.543842
-425.0,4,2.550275
-25.0,2,2.553732
155.277774,1,2.555595
55.277774,2,2.558987
-10.23455,2,2.562438
122.521612,1,2.564284
-42.990713,1,2.566045
-10.23455,2,2.569246
-42.990713,1,2.571075
-10.23455,2,2.57455
57.009287,1,2.5765
-425.0,4,2.583041
122.521612,1,2.584967
55.277774,2,2.588315
-42.990713,2,2.59173
-44.722226,3,2.596688
22.521612,2,2.600169
122.521612,1,2.602024
-625.0,6,2.611261
-142.990713,2,2.614655
-44.722226,2,2.617984
122.521612,1,2.619756
-125.0,1,2.621524
55.277774,2,2.62495
122.521612,1,2.62678
-425.0,4,2.633323
-42.990713,1,2.635332
-44.722226,3,2.64033
-25.0,2,2.643732
57.009287,1,2.645629
55.277774,1,2.647469
-10.23455,1,2.649291
89.76545,1,2.651302
-42.990713,2,2.655401
-142.990713,3,2.660675
-425.0,4,2.667093
57.009287,1,2.669004
-242.990713,4,2.675477
89.76545,1,2.677247
55.277774,1,2.679141
57.009287,1,2.68099
57.009287,1,2.682878
-425.0,4,2.689222
57.009287,1,2.690968
89.76545,1,2.692793
57.009287,1,2.694627
-77.478388,2,2.698026
89.76545,1,2.699861
-25.0,2,2.703294
57.009287,1,2.7052
-425.0,4,2.711508
55.277774,1,2.713468
-125.0,1,2.715466
-125.0,1,2.717486
-25.0,2,2.723115
-10.23455,2,2.728612
155.277774,1,2.730956
122.521612,1,2.733376
-77.478388,2,2.737855
57.009287,1,2.740281
-210.23455,4,2.749323
89.76545,1,2.751902
89.76545,1,2.75416
-25.0,2,2.758296
75.0,3,2.76418
55.277774,2,2.768105
-242.990713,3,2.773532
-42.990713,2,2.777162
55.277774,2,2.780855
155.277774,1,2.782737
375.0,6,2.792048
89.76545,1,2.793809
55.277774,2,2.797142
-10.23455,2,2.800562
57.009287,1,2.802377
-125.0,1,2.804259
57.009287,1,2.806121
-42.990713,1,2.807992
-77.478388,3,2.812967
-10.23455,1,2.814865
-110.23455,3,2.819977
75.0,3,2.824995
-142.990713,2,2.828483
-242.990713,4,2.834856
22.521612,1,2.836704
-10.23455,2,2.840121
-125.0,1,2.841966
-425.0,4,2.848754
22.521612,2,2.852123
89.76545,1,2.85398
-10.23455,2,2.857473
122.521612,1,2.859375
-110.23455,2,2.862937
-125.0,1,2.864803
-242.990713,3,2.869744
57.009287,1,2.871562
-125.0,1,2.87332
89.76545,1,2.875196
-10.23455,2,2.878636
